State,Unemployment rate,Poverty rate,Population identified as POC,Total population,Population with less than Bachelor's degree,Per Capita Personal Income
Alabama,2.5%,15.70%,35.50%,5.0M,27.21%,54k
Alaska,4.2%,10.50%,42.30%,734.8k,30.75%,71.6k
Arizona,3.8%,13.10%,48.20%,7.2M,31.80%,62.5k
Arkansas,3.2%,16.20%,32.30%,3.0M,24.71%,57.6k
California,4.3%,12.10%,66.30%,39.4M,35.86%,81.3k
Colorado,3.1%,9.60%,35.00%,5.8M,43.73%,80.1k
Connecticut,4.1%,10.10%,38.00%,3.6M,41.38%,89.9k
Delaware,4.3%,11.10%,41.00%,993.6k,34.46%,66.8k
District of Columbia,4.7%,15.10%,63.70%,670.6k,62.64%,106.8k
Florida,3%,12.90%,49.20%,21.6M,32.33%,68.7k
Georgia,3.1%,13.50%,50.20%,10.7M,33.63%,59.9k
Hawaii,3.3%,9.60%,80.50%,1.5M,34.72%,66.2k
Idaho,2.8%,11.00%,20.70%,1.9M,30.21%,59.4k
Illinois,4.6%,11.80%,41.50%,12.8M,36.67%,72.2k
Indiana,3.1%,12.30%,23.90%,6.8M,28.24%,61.2k
Iowa,2.8%,11.10%,17.10%,3.2M,30.28%,62.8k
Kansas,2.6%,11.60%,26.70%,2.9M,34.69%,66.1k
Kentucky,4%,16.10%,17.50%,4.5M,26.47%,55.4k
Louisiana,3.7%,18.70%,42.90%,4.6M,26.13%,58.5k
Maine,2.8%,10.90%,9.50%,1.4M,34.12%,65.1k
Maryland,3%,9.30%,52.80%,6.2M,42.22%,75.4k
Massachusetts,3.7%,9.90%,32.70%,7.0M,45.91%,91k
Michigan,4.1%,13.10%,27.10%,10.1M,31.14%,61.1k
Minnesota,2.6%,9.30%,23.70%,5.7M,38.20%,72.6k
Mississippi,3.8%,19.20%,44.30%,3.0M,23.88%,49.7k
Missouri,2.6%,12.80%,23.10%,6.2M,31.19%,62.6k
Montana,2.7%,12.40%,16.20%,1.1M,33.98%,65k
Nebraska,2.2%,10.40%,24.10%,2.0M,33.46%,71.3k
Nevada,5.2%,12.70%,55.60%,3.1M,26.55%,66.2k
New Hampshire,2.3%,7.30%,13.30%,1.4M,39.05%,78.5k
New Jersey,3.9%,9.70%,48.50%,9.2M,42.25%,82.1k
New Mexico,4.1%,18.30%,65.30%,2.1M,29.07%,55.3k
New York,4.3%,13.60%,47.00%,20.0M,38.79%,82.3k
North Carolina,3.7%,13.30%,39.10%,10.5M,33.87%,61.8k
North Dakota,2%,10.80%,17.20%,776.9k,31.43%,72k
Ohio,4%,13.30%,23.70%,11.8M,30.37%,61.5k
Oklahoma,3.1%,15.20%,37.20%,4.0M,27.27%,60.5k
Oregon,3.9%,11.90%,28.20%,4.2M,35.48%,67.8k
Pennsylvania,4.1%,11.80%,26.70%,13.0M,33.76%,68.5k
Rhode Island,3.2%,11.20%,32.00%,1.1M,36.28%,67.6k
South Carolina,3.2%,14.40%,37.20%,5.1M,30.64%,57.3k
South Dakota,2%,12.30%,19.90%,890.3k,30.37%,72.5k
Tennessee,3.4%,14.00%,27.90%,6.9M,29.71%,62.2k
Texas,3.9%,13.90%,61.10%,29.2M,32.27%,66.3k
Utah,2.4%,8.50%,24.40%,3.3M,36.13%,64.2k
Vermont,2.3%,10.40%,9.60%,643.8k,41.72%,66.9k
Virginia,2.8%,10.00%,41.10%,8.6M,40.97%,73.8k
Washington,4.1%,9.90%,36.40%,7.7M,37.95%,80.9k
West Virginia,3.9%,16.80%,9.60%,1.8M,22.71%,52.8k
Wisconsin,2.9%,10.70%,20.90%,5.9M,32.02%,65k
Wyoming,3.4%,10.70%,18.10%,577.9k,28.99%,82.1k
